EventId	CarNumber	Timestamp	ClassName	PositionInRun	CurrentLap	LastLapTimeSeconds	LastPitLap	PitStops
27712	85	2021-01-30 22:47:01.2138666	GP3	17	205	132.997	165	6
27712	77	2021-01-30 22:46:45.5795442	GTO	7	221	122.019	195	7
27712	9	2021-01-30 22:46:43.0605330	GTO	4	223	115.916	220	6
27712	3	2021-01-30 22:46:38.0022048	GTO	29	120	6630.287	120	6
27712	511	2021-01-30 22:46:38.0022048	GTO	16	205	124.397	204	8
27712	66	2021-01-30 22:46:23.3905218	GP3	13	210	126.623	205	5
27712	110	2021-01-30 22:46:16.4981498	GP1	9	219	126.851	202	5
27712	69	2021-01-30 22:46:08.2311690	GP2	28	125	121.377	96	5
27712	199	2021-01-30 22:46:00.9887799	GP2	27	127	130.113	108	6
27712	242	2021-01-30 22:45:55.5188896	GTO	22	151	116.393	146	13
27712	51	2021-01-30 22:45:45.6928388	GP2	6	221	123.92	179	4
27712	84	2021-01-30 22:45:45.6928388	GP2	12	210	129.378	171	4
27712	525	2021-01-30 22:45:45.6928388	GP2	11	211	117.183	198	7
27712	152	2021-01-30 22:45:33.0984626	GP2	19	201	132.737	193	7
27712	172	2021-01-30 22:45:30.5365563	GTO	8	219	123.444	210	5
27712	982	2021-01-30 22:45:30.5365563	GTO	20	187	122.672	167	9
27712	983	2021-01-30 22:45:18.1930581	GTO	3	225	116.311	201	6
27712	32	2021-01-30 22:45:18.1930581	GP3	18	202	130.551	164	4
27712	44	2021-01-30 22:45:15.5586277	GP1	5	221	123.644	220	11
27712	46	2021-01-30 22:45:15.5586277	GP1	15	205	122.319	164	5
27712	366	2021-01-30 22:45:13.5059804	GP1	14	206	133.521	196	7
27712	134	2021-01-30 22:45:11.2708813	GP1	24	143	122.623	93	7
27712	95	2021-01-30 22:45:05.5367861	GTO	26	140	115.903	112	6
27712	9	2021-01-30 22:44:48.0218737	GTO	4	222	116.756	220	6
27712	29	2021-01-30 22:44:48.0218737	GTO	1	231	116.896	188	4
27712	85	2021-01-30 22:44:45.5658459	GP3	17	204	129.489	165	6
27712	77	2021-01-30 22:44:45.5658459	GTO	7	220	139.636	195	7
27712	511	2021-01-30 22:44:33.0139175	GTO	16	204	182.72	204	8
27712	66	2021-01-30 22:44:18.0609082	GP3	13	209	127.759	205	5
27712	69	2021-01-30 22:44:08.0626744	GP2	28	124	121.518	96	5
27712	110	2021-01-30 22:44:08.0626744	GP1	9	218	125.957	202	5
27712	58	2021-01-30 22:44:03.1308616	GP1	10	216	124.006	178	5
27712	242	2021-01-30 22:43:58.0145248	GTO	22	150	117.438	146	13
27712	199	2021-01-30 22:43:50.5512924	GP2	27	126	128.415	108	6
27712	525	2021-01-30 22:43:48.0453197	GP2	11	210	117.217	198	7
27712	51	2021-01-30 22:43:40.7368182	GP2	6	220	120.425	179	4
27712	84	2021-01-30 22:43:38.0011606	GP2	12	209	126.866	171	4
27712	982	2021-01-30 22:43:28.0645555	GTO	20	186	122.792	167	9
27712	172	2021-01-30 22:43:28.0645555	GTO	8	218	122.888	210	5
27712	152	2021-01-30 22:43:20.5566729	GP2	19	200	129.461	193	7
27712	983	2021-01-30 22:43:20.5566729	GTO	3	224	116.552	201	6
27712	46	2021-01-30 22:43:13.8430913	GP1	15	204	123.116	164	5
27712	44	2021-01-30 22:43:10.8822146	GP1	5	220	189.767	220	11
27712	32	2021-01-30 22:43:08.0264525	GP3	18	201	131.054	164	4
27712	134	2021-01-30 22:43:08.0264525	GP1	25	142	118.872	93	7
27712	95	2021-01-30 22:43:08.0264525	GTO	26	139	114.553	112	6
27712	366	2021-01-30 22:43:00.5800359	GP1	14	205	132.824	196	7
27712	29	2021-01-30 22:42:50.5140785	GTO	1	230	117.364	188	4
27712	9	2021-01-30 22:42:50.5140785	GTO	4	221	122.228	220	6
27712	85	2021-01-30 22:42:38.0320154	GP3	17	203	129.657	165	6
27712	77	2021-01-30 22:42:25.5588418	GTO	7	219	123.895	195	7
27712	66	2021-01-30 22:42:08.0215760	GP3	13	208	128.189	205	5
27712	69	2021-01-30 22:42:05.5110699	GP2	28	123	120.766	96	5
27712	110	2021-01-30 22:42:03.0421524	GP1	9	217	124.734	202	5
27712	242	2021-01-30 22:42:00.6326385	GTO	22	149	116.365	146	13
27712	58	2021-01-30 22:42:00.6326385	GP1	10	215	124.021	178	5
27712	525	2021-01-30 22:41:50.6326686	GP2	11	209	117.278	198	7
27712	199	2021-01-30 22:41:40.5899368	GP2	27	125	131.716	108	6
27712	51	2021-01-30 22:41:40.5899368	GP2	6	219	125.41	179	4
27712	511	2021-01-30 22:41:31.2654783	GTO	16	203	120.114	174	7
27712	84	2021-01-30 22:41:31.2654783	GP2	12	208	128.156	171	4
27712	982	2021-01-30 22:41:25.8967810	GTO	20	185	121.995	167	9
27712	983	2021-01-30 22:41:25.8967810	GTO	3	223	118.587	201	6
27712	172	2021-01-30 22:41:25.8967810	GTO	8	217	121.806	210	5
